N,Wide_Area,Wide_Relative_Error,Narrow_Area,Narrow_Relative_Error,Wide_Absolute_Error,Narrow_Absolute_Error
45100,0.962062,0.0185755,0.788803,0.164862,0.0175449,0.155715
45600,0.953487,0.00949655,0.784693,0.169213,0.00896966,0.159824
46100,0.939631,0.00517296,0.787397,0.16635,0.00488595,0.15712
46600,0.942103,0.002556,0.783734,0.170228,0.00241418,0.160783
47100,0.926178,0.0194161,0.78966,0.163953,0.0183388,0.154857
47600,0.940651,0.00409302,0.784223,0.169711,0.00386593,0.160294
48100,0.943035,0.00156889,0.784012,0.169933,0.00148184,0.160505
48600,0.911296,0.0351724,0.786667,0.167123,0.0332209,0.157851
49100,0.934277,0.0108417,0.786517,0.167281,0.0102402,0.158
49600,0.931391,0.0138971,0.785827,0.168012,0.0131261,0.158691
50100,0.963593,0.0201962,0.785968,0.167863,0.0190756,0.158549
50600,0.953538,0.00955024,0.787352,0.166398,0.00902036,0.157165
51100,0.92184,0.0240098,0.787847,0.165873,0.0226777,0.15667
51600,0.940116,0.00465942,0.782248,0.171801,0.00440091,0.162269
52100,0.944914,0.00041973,0.785451,0.16841,0.000396442,0.159066
52600,0.937471,0.00745958,0.785684,0.168163,0.0070457,0.158833
53100,0.940847,0.0038853,0.783051,0.170951,0.00366973,0.161466
53600,0.945672,0.00122227,0.784795,0.169105,0.00115446,0.159722
54100,0.956229,0.0124,0.786229,0.167586,0.011712,0.158288
54600,0.933132,0.0120541,0.784762,0.16914,0.0113853,0.159755
55100,0.948838,0.00457513,0.786733,0.167053,0.00432129,0.157784
55600,0.922338,0.0234819,0.786745,0.16704,0.0221791,0.157773
56100,0.945561,0.00110566,0.786203,0.167614,0.00104431,0.158314
56600,0.936254,0.00874814,0.784258,0.169673,0.00826277,0.160259
57100,0.926165,0.0194306,0.782644,0.171381,0.0183526,0.161873
57600,0.933125,0.0120614,0.781649,0.172435,0.0113922,0.162868
58100,0.933614,0.0115432,0.785921,0.167913,0.0109027,0.158596
58600,0.934556,0.010546,0.784078,0.169863,0.00996087,0.160439
59100,0.974772,0.0320316,0.786701,0.167087,0.0302544,0.157817
59600,0.949983,0.00578712,0.785705,0.168141,0.00546604,0.158812
60100,0.939834,0.0049587,0.78416,0.169777,0.00468358,0.160357
60600,0.952723,0.0086876,0.783201,0.170792,0.00820559,0.161316
61100,0.961424,0.0178998,0.788036,0.165673,0.0169067,0.156481
61600,0.954351,0.0104111,0.787451,0.166292,0.00983346,0.157066
62100,0.926957,0.0185922,0.783478,0.170499,0.0175607,0.161039
62600,0.971022,0.0280621,0.78524,0.168634,0.0265052,0.159278
63100,0.947639,0.00330484,0.786371,0.167436,0.00312148,0.158146
63600,0.95066,0.00650405,0.785204,0.168671,0.00614319,0.159313
64100,0.935663,0.00937427,0.786568,0.167228,0.00885416,0.157949
64600,0.933297,0.0118791,0.783142,0.170854,0.01122,0.161375
65100,0.958203,0.0144895,0.786006,0.167822,0.0136856,0.158511
65600,0.960503,0.0169249,0.783872,0.170082,0.0159859,0.160645
66100,0.937852,0.00705699,0.785325,0.168543,0.00666545,0.159192
66600,0.921216,0.0246697,0.786261,0.167552,0.023301,0.158256
67100,0.962906,0.0194691,0.784829,0.169069,0.0183889,0.159689
67600,0.957249,0.0134792,0.785607,0.168245,0.0127313,0.158911
68100,0.938194,0.0066948,0.787269,0.166486,0.00632335,0.157248
68600,0.936735,0.00823965,0.785248,0.168625,0.00778249,0.159269
69100,0.948842,0.00457913,0.784168,0.169769,0.00432507,0.160349
69600,0.949397,0.00516599,0.785388,0.168477,0.00487937,0.159129
70100,0.946091,0.00166658,0.786733,0.167052,0.00157411,0.157784
70600,0.948314,0.00402032,0.783739,0.170222,0.00379726,0.160778
71100,0.957975,0.014248,0.784965,0.168925,0.0134575,0.159552
71600,0.969008,0.0259299,0.784399,0.169523,0.0244912,0.160118
72100,0.937198,0.00774877,0.784313,0.169614,0.00731885,0.160204
72600,0.948471,0.00418615,0.786019,0.167808,0.00395389,0.158498
73100,0.956512,0.012699,0.787373,0.166375,0.0119944,0.157144
73600,0.944389,0.000136153,0.784321,0.169607,0.000128599,0.160197
74100,0.945182,0.000704064,0.787949,0.165766,0.000665,0.156568
74600,0.937399,0.00753583,0.786595,0.167199,0.00711772,0.157922
75100,0.95213,0.00806053,0.785606,0.168246,0.00761331,0.158911
75600,0.944643,0.000133053,0.786032,0.167795,0.000125671,0.158485
76100,0.930394,0.0149526,0.786084,0.16774,0.014123,0.158433
76600,0.942415,0.00222552,0.784687,0.169219,0.00210204,0.159831
77100,0.933735,0.0114151,0.78751,0.16623,0.0107818,0.157007
77600,0.952655,0.00861546,0.783595,0.170375,0.00813745,0.160922
78100,0.93895,0.00589415,0.785813,0.168027,0.00556712,0.158704
78600,0.938359,0.00652016,0.786756,0.167029,0.00615841,0.157761
79100,0.953135,0.00912433,0.784374,0.16955,0.00861809,0.160143
79600,0.943643,0.000925309,0.784535,0.16938,0.00087397,0.159982
80100,0.933034,0.012158,0.785144,0.168736,0.0114835,0.159374
80600,0.936514,0.00847368,0.782742,0.171278,0.00800354,0.161775
81100,0.942947,0.00166244,0.785894,0.167941,0.00157021,0.158623
81600,0.966066,0.0228148,0.788076,0.165631,0.021549,0.156441
82100,0.932229,0.01301,0.785993,0.167837,0.0122882,0.158524
82600,0.942712,0.00191137,0.784092,0.169849,0.00180532,0.160425
83100,0.938773,0.00608207,0.785102,0.168779,0.00574462,0.159415
83600,0.940586,0.00416198,0.782835,0.17118,0.00393106,0.161682
84100,0.946338,0.00192745,0.788383,0.165306,0.00182051,0.156134
84600,0.938085,0.00680991,0.784574,0.169338,0.00643208,0.159943
85100,0.949283,0.00504598,0.785629,0.168222,0.00476601,0.158889
85600,0.9409,0.00383016,0.788411,0.165276,0.00361765,0.156106
86100,0.955296,0.0114122,0.784518,0.169398,0.010779,0.159999
86600,0.941674,0.00300981,0.783441,0.170538,0.00284282,0.161076
87100,0.949288,0.00505125,0.787933,0.165782,0.00477099,0.156584
87600,0.932979,0.0122155,0.78508,0.168803,0.0115377,0.159437
88100,0.946277,0.00186314,0.783371,0.170612,0.00175977,0.161146
88600,0.928646,0.0168039,0.783634,0.170333,0.0158716,0.160883
89100,0.943636,0.000932564,0.784198,0.169737,0.000880822,0.16032
89600,0.949922,0.00572217,0.7876,0.166134,0.00540469,0.156917
90100,0.943552,0.0010223,0.785361,0.168506,0.000965577,0.159156
90600,0.955828,0.011975,0.785353,0.168514,0.0113106,0.159164
91100,0.945049,0.000563473,0.784533,0.169381,0.00053221,0.159984
91600,0.943624,0.000945173,0.784803,0.169096,0.000892732,0.159714
92100,0.942117,0.0025409,0.784278,0.169652,0.00239992,0.160239
92600,0.939752,0.0050455,0.784449,0.169471,0.00476557,0.160068
93100,0.939055,0.00578328,0.783716,0.170247,0.00546241,0.160801
93600,0.948365,0.00407425,0.782393,0.171648,0.0038482,0.162124
94100,0.950021,0.00582739,0.784782,0.169118,0.00550407,0.159735
